"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hour"
"11","...and the fraudulent and dishonest statements he made on Wednesday. No way, it’s time to stop this corrupt and ill… ",FALSE,118086,NA,2019-03-01 13:26:56,TRUE,NA,"1101473899357880321",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28978,FALSE,FALSE,NA,NA,8
"12","Oh’ I see! Now that the 2 year Russian Collusion case has fallen apart, there was no Collusion except bye Crooked H… ",FALSE,120769,NA,2019-03-01 13:19:44,TRUE,NA,"1101472084730003457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29734,FALSE,FALSE,NA,NA,8
"13","Congress must demand the transcript of Michael Cohen’s new book, given to publishers a short time ago. Your heads w… ",FALSE,81141,NA,2019-03-01 13:08:02,TRUE,NA,"1101469141213630464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20721,FALSE,FALSE,NA,NA,8
"14","Wow, just revealed that Michael Cohen wrote a “love letter to Trump” manuscript for a new book that he was pushing.… ",FALSE,79564,NA,2019-03-01 13:00:17,TRUE,NA,"1101467190824439808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19105,FALSE,FALSE,NA,NA,8
"15","Great to be back from Vietnam, an amazing place. We had very substantive negotiations with Kim Jong Un - we know wh… ",FALSE,90111,NA,2019-03-01 12:49:22,TRUE,NA,"1101464443114921984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18004,FALSE,FALSE,NA,NA,7
"16","Today in Alaska, it was my great honor to visit with our brave men and women of the United States Military at Joint… ",FALSE,90428,NA,2019-03-01 04:35:26,TRUE,NA,"1101340141501714432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18368,FALSE,FALSE,NA,NA,23
"17","",FALSE,50406,NA,2019-03-01 04:00:29,FALSE,NA,"1101331345542918145",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10784,FALSE,FALSE,NA,NA,23
"18","",FALSE,50380,NA,2019-03-01 03:59:59,FALSE,NA,"1101331221655760897",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10980,FALSE,FALSE,NA,NA,22
"19","I will be interviewed by seanhannity at 9:00 P.M. on FoxNews. Enjoy!",FALSE,60309,NA,2019-03-01 01:15:17,FALSE,NA,"1101289772528603137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10773,FALSE,FALSE,NA,NA,20
"20","Everyone MUST watch the opening to TuckerCarlson - A Classic! foxnews",FALSE,72949,NA,2019-03-01 01:12:26,FALSE,NA,"1101289057060077569",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13433,FALSE,FALSE,NA,NA,20
