"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"285",1980,"9",18.9,11.3,0,60.6,140.6,1980-09-15,"Sep","hurn"
"286",1980,"10",13.7,4.8,5,114.5,132.2,1980-10-15,"Oct","hurn"
"287",1980,"11",9.4,3.6,9,47.5,78.8,1980-11-15,"Nov","hurn"
"288",1980,"12",9.4,2.2,11,56.4,86.3,1980-12-15,"Dec","hurn"
"289",1981,"1",8.6,1.7,11,29.3,62.5,1981-01-15,"Jan","hurn"
"290",1981,"2",7.3,-0.8,18,54.5,80.8,1981-02-15,"Feb","hurn"
"291",1981,"3",11.4,5.9,3,120.8,84.5,1981-03-15,"Mar","hurn"
"292",1981,"4",13.2,3.9,3,47,149.8,1981-04-15,"Apr","hurn"
"293",1981,"5",14.8,8,1,103,141.6,1981-05-15,"May","hurn"
"294",1981,"6",17.7,9.4,0,67.9,175.1,1981-06-15,"Jun","hurn"
"295",1981,"7",21.4,11.1,0,41.6,178.4,1981-07-15,"Jul","hurn"
"296",1981,"8",22.5,10.8,0,7,224.5,1981-08-15,"Aug","hurn"
"297",1981,"9",19.8,9.3,0,149.8,166.7,1981-09-15,"Sep","hurn"
"298",1981,"10",12.7,5.1,4,88.7,101.1,1981-10-15,"Oct","hurn"
"299",1981,"11",11.5,3.8,9,36.3,52.9,1981-11-15,"Nov","hurn"
"300",1981,"12",6,-1.6,18,119.7,52.7,1981-12-15,"Dec","hurn"
"301",1982,"1",7.2,0.9,13,47.7,58.8,1982-01-15,"Jan","hurn"
"302",1982,"2",8.5,2.2,10,48.2,49.7,1982-02-15,"Feb","hurn"
"303",1982,"3",10.5,1.4,8,101.1,161.8,1982-03-15,"Mar","hurn"
"304",1982,"4",14.2,2.5,6,17.9,200.2,1982-04-15,"Apr","hurn"
"305",1982,"5",17.2,6,6,34.6,220.3,1982-05-15,"May","hurn"
"306",1982,"6",20.5,10.9,0,90.4,232.1,1982-06-15,"Jun","hurn"
"307",1982,"7",22,11.7,0,88.5,193.4,1982-07-15,"Jul","hurn"
"308",1982,"8",20.3,11.8,0,79.6,181.9,1982-08-15,"Aug","hurn"
"309",1982,"9",19.7,9.3,0,66.7,150.6,1982-09-15,"Sep","hurn"
"310",1982,"10",14.3,6.6,2,183.8,78.6,1982-10-15,"Oct","hurn"
"311",1982,"11",11.8,5.8,4,121.1,67.2,1982-11-15,"Nov","hurn"
"312",1982,"12",8.9,1.3,13,99,61.5,1982-12-15,"Dec","hurn"
"313",1983,"1",10.1,4,6,77.1,52.8,1983-01-15,"Jan","hurn"
"314",1983,"2",5.9,-0.9,18,18.9,97.5,1983-02-15,"Feb","hurn"
"315",1983,"3",10.4,2.3,8,44.6,94.7,1983-03-15,"Mar","hurn"
"316",1983,"4",11.4,2.7,5,85.8,161.3,1983-04-15,"Apr","hurn"
"317",1983,"5",14.4,6.9,0,97.3,163,1983-05-15,"May","hurn"
"318",1983,"6",19.5,10.6,0,93.9,192.9,1983-06-15,"Jun","hurn"
"319",1983,"7",25.8,13.5,0,9,273.8,1983-07-15,"Jul","hurn"
"320",1983,"8",23.9,11.5,0,14,254.1,1983-08-15,"Aug","hurn"
"321",1983,"9",18.4,10,0,65.7,111.7,1983-09-15,"Sep","hurn"
"322",1983,"10",14.6,6.7,4,79.9,112.9,1983-10-15,"Oct","hurn"
"323",1983,"11",11.2,4.1,6,46.4,52.4,1983-11-15,"Nov","hurn"
